Rank,Similarity Score,Peterson URL Video 1,Wolfe URL Video 2
48,0.9042380946278246,https://www.youtube.com/watch?v=6V1eMvGGcXQ,https://www.youtube.com/watch?v=14UeTjQOx50
49,0.9041315782882183,https://www.youtube.com/watch?v=cFS6fPLQ024,https://www.youtube.com/watch?v=IIgJWYMX6LE
50,0.904094302281315,https://www.youtube.com/watch?v=T4fjSrVCDvA,https://www.youtube.com/watch?v=KUqGpkR21aM
51,0.9040645091292976,https://www.youtube.com/watch?v=134BCxbMUlU,https://www.youtube.com/watch?v=LIRI_8hjgm8
52,0.9036599518871306,https://www.youtube.com/watch?v=Nb5cBkbQpGY,https://www.youtube.com/watch?v=4i9jRsZlqUs
53,0.9035647998558228,https://www.youtube.com/watch?v=F7T5cg1a77A,https://www.youtube.com/watch?v=4i9jRsZlqUs
54,0.9032475926630349,https://www.youtube.com/watch?v=Nb5cBkbQpGY,https://www.youtube.com/watch?v=0zijwkFuwbo
55,0.902925400005564,https://www.youtube.com/watch?v=T4fjSrVCDvA,https://www.youtube.com/watch?v=IIgJWYMX6LE
56,0.9028940427020185,https://www.youtube.com/watch?v=7XtEZvLo-Sc,https://www.youtube.com/watch?v=0zijwkFuwbo
57,0.902879252934778,https://www.youtube.com/watch?v=RudKmwzDpNY,https://www.youtube.com/watch?v=jQdf2XgbLZo
58,0.9028730868158854,https://www.youtube.com/watch?v=bjnvtRgpg6g,https://www.youtube.com/watch?v=x4cEMnDoBAA
59,0.9021139466295383,https://www.youtube.com/watch?v=7XtEZvLo-Sc,https://www.youtube.com/watch?v=jQdf2XgbLZo
60,0.9018723339033193,https://www.youtube.com/watch?v=ZHmklvx9oJ4,https://www.youtube.com/watch?v=Eki8KqKxGQg
61,0.9014459433878541,https://www.youtube.com/watch?v=ux6TVYqdN-E,https://www.youtube.com/watch?v=IIgJWYMX6LE
62,0.9011501697352582,https://www.youtube.com/watch?v=T4fjSrVCDvA,https://www.youtube.com/watch?v=4i9jRsZlqUs
63,0.900978567291478,https://www.youtube.com/watch?v=bjnvtRgpg6g,https://www.youtube.com/watch?v=0zijwkFuwbo
64,0.9009031795328915,https://www.youtube.com/watch?v=6V1eMvGGcXQ,https://www.youtube.com/watch?v=0zijwkFuwbo
65,0.9008487869668507,https://www.youtube.com/watch?v=I8Xc2_FtpHI,https://www.youtube.com/watch?v=LIRI_8hjgm8
66,0.9007518278727774,https://www.youtube.com/watch?v=RudKmwzDpNY,https://www.youtube.com/watch?v=jnU15SkboCA
67,0.9006950143180529,https://www.youtube.com/watch?v=7XtEZvLo-Sc,https://www.youtube.com/watch?v=Eki8KqKxGQg
68,0.9005721694714307,https://www.youtube.com/watch?v=ux6TVYqdN-E,https://www.youtube.com/watch?v=l6zkg3Ihg0g
69,0.9005657924455812,https://www.youtube.com/watch?v=RcmWssTLFv0,https://www.youtube.com/watch?v=LIRI_8hjgm8
70,0.9004976444101505,https://www.youtube.com/watch?v=ZHmklvx9oJ4,https://www.youtube.com/watch?v=jnU15SkboCA
71,0.9004796973547344,https://www.youtube.com/watch?v=F7T5cg1a77A,https://www.youtube.com/watch?v=-gFz4HL_uhA
72,0.9001536956520338,https://www.youtube.com/watch?v=Gacjj2aCo7Q,https://www.youtube.com/watch?v=LIRI_8hjgm8
73,0.9001241261243983,https://www.youtube.com/watch?v=6V1eMvGGcXQ,https://www.youtube.com/watch?v=jnU15SkboCA
74,0.8999902331810365,https://www.youtube.com/watch?v=ZHmklvx9oJ4,https://www.youtube.com/watch?v=4i9jRsZlqUs
75,0.8999754349044871,https://www.youtube.com/watch?v=mJI0hVV-5Vs,https://www.youtube.com/watch?v=COg6Qzt1new
76,0.8999725604259864,https://www.youtube.com/watch?v=sJVtAIIHxu0,https://www.youtube.com/watch?v=LIRI_8hjgm8
77,0.8998314557202127,https://www.youtube.com/watch?v=mJI0hVV-5Vs,https://www.youtube.com/watch?v=-gFz4HL_uhA
78,0.8996778769604259,https://www.youtube.com/watch?v=T4fjSrVCDvA,https://www.youtube.com/watch?v=14UeTjQOx50
79,0.8996497660343226,https://www.youtube.com/watch?v=Nb5cBkbQpGY,https://www.youtube.com/watch?v=Eki8KqKxGQg
80,0.89929896661175,https://www.youtube.com/watch?v=ZHmklvx9oJ4,https://www.youtube.com/watch?v=oM5OgMz4g_M
81,0.8992426913799314,https://www.youtube.com/watch?v=tIZb0YEcyNo,https://www.youtube.com/watch?v=LIRI_8hjgm8
82,0.8989567497578381,https://www.youtube.com/watch?v=Us979jCjHu8,https://www.youtube.com/watch?v=LIRI_8hjgm8
83,0.8988304511699277,https://www.youtube.com/watch?v=7XtEZvLo-Sc,https://www.youtube.com/watch?v=KUqGpkR21aM
84,0.89870282168437,https://www.youtube.com/watch?v=mJI0hVV-5Vs,https://www.youtube.com/watch?v=Eki8KqKxGQg
85,0.8986023481801775,https://www.youtube.com/watch?v=ZHmklvx9oJ4,https://www.youtube.com/watch?v=R6_jm8BOrjw
86,0.898490621440093,https://www.youtube.com/watch?v=T4fjSrVCDvA,https://www.youtube.com/watch?v=jQdf2XgbLZo
87,0.8984845653149796,https://www.youtube.com/watch?v=F7T5cg1a77A,https://www.youtube.com/watch?v=KUqGpkR21aM
88,0.8984579785554625,https://www.youtube.com/watch?v=RudKmwzDpNY,https://www.youtube.com/watch?v=Eki8KqKxGQg
89,0.8984246547246932,https://www.youtube.com/watch?v=DjYqkPrCvXQ,https://www.youtube.com/watch?v=LIRI_8hjgm8
90,0.8982538220445089,https://www.youtube.com/watch?v=ux6TVYqdN-E,https://www.youtube.com/watch?v=3TnQSVytQ8A
91,0.898246067672576,https://www.youtube.com/watch?v=Nb5cBkbQpGY,https://www.youtube.com/watch?v=yESTOkh6nQE
92,0.8981440688467832,https://www.youtube.com/watch?v=mJI0hVV-5Vs,https://www.youtube.com/watch?v=4i9jRsZlqUs
93,0.8981298624389417,https://www.youtube.com/watch?v=RudKmwzDpNY,https://www.youtube.com/watch?v=yESTOkh6nQE
94,0.897992256218585,https://www.youtube.com/watch?v=6V1eMvGGcXQ,https://www.youtube.com/watch?v=jQdf2XgbLZo
95,0.8977865875850839,https://www.youtube.com/watch?v=Nb5cBkbQpGY,https://www.youtube.com/watch?v=3TnQSVytQ8A
96,0.8977362840533076,https://www.youtube.com/watch?v=ZHmklvx9oJ4,https://www.youtube.com/watch?v=LzGIpm5UFCg
97,0.8977314004988344,https://www.youtube.com/watch?v=6V1eMvGGcXQ,https://www.youtube.com/watch?v=yESTOkh6nQE
98,0.8976478784610952,https://www.youtube.com/watch?v=T4fjSrVCDvA,https://www.youtube.com/watch?v=0zijwkFuwbo
99,0.8975703771065469,https://www.youtube.com/watch?v=7XtEZvLo-Sc,https://www.youtube.com/watch?v=5UwvH2b1j2E
100,0.8973866815881396,https://www.youtube.com/watch?v=7XtEZvLo-Sc,https://www.youtube.com/watch?v=oM5OgMz4g_M
101,0.8973130692032789,https://www.youtube.com/watch?v=7XtEZvLo-Sc,https://www.youtube.com/watch?v=IIgJWYMX6LE
102,0.8972315437202254,https://www.youtube.com/watch?v=T4fjSrVCDvA,https://www.youtube.com/watch?v=l6zkg3Ihg0g
103,0.8968395027405041,https://www.youtube.com/watch?v=rlGqUfIgJfc,https://www.youtube.com/watch?v=LIRI_8hjgm8
104,0.8968393416604554,https://www.youtube.com/watch?v=F7T5cg1a77A,https://www.youtube.com/watch?v=0zijwkFuwbo
105,0.8967520507829929,https://www.youtube.com/watch?v=bjnvtRgpg6g,https://www.youtube.com/watch?v=COg6Qzt1new
106,0.8959100312580309,https://www.youtube.com/watch?v=T4fjSrVCDvA,https://www.youtube.com/watch?v=yESTOkh6nQE
107,0.8956236957746738,https://www.youtube.com/watch?v=T4fjSrVCDvA,https://www.youtube.com/watch?v=Eki8KqKxGQg
108,0.8955876957523736,https://www.youtube.com/watch?v=DjYqkPrCvXQ,https://www.youtube.com/watch?v=3TnQSVytQ8A
109,0.8954476252868238,https://www.youtube.com/watch?v=F7T5cg1a77A,https://www.youtube.com/watch?v=x4cEMnDoBAA
110,0.8950109516214025,https://www.youtube.com/watch?v=7XtEZvLo-Sc,https://www.youtube.com/watch?v=x4cEMnDoBAA
111,0.8948993138250612,https://www.youtube.com/watch?v=mJI0hVV-5Vs,https://www.youtube.com/watch?v=KUqGpkR21aM
112,0.8948490445041911,https://www.youtube.com/watch?v=RudKmwzDpNY,https://www.youtube.com/watch?v=4i9jRsZlqUs
113,0.8947320244967559,https://www.youtube.com/watch?v=F7T5cg1a77A,https://www.youtube.com/watch?v=jQdf2XgbLZo
114,0.8947153741386225,https://www.youtube.com/watch?v=sJVtAIIHxu0,https://www.youtube.com/watch?v=4i9jRsZlqUs
115,0.894585979127077,https://www.youtube.com/watch?v=bjnvtRgpg6g,https://www.youtube.com/watch?v=-gFz4HL_uhA
116,0.894560182854917,https://www.youtube.com/watch?v=7XtEZvLo-Sc,https://www.youtube.com/watch?v=14UeTjQOx50
117,0.8945094404477236,https://www.youtube.com/watch?v=F7T5cg1a77A,https://www.youtube.com/watch?v=Eki8KqKxGQg
118,0.8943526089859666,https://www.youtube.com/watch?v=6V1eMvGGcXQ,https://www.youtube.com/watch?v=x4cEMnDoBAA
119,0.894134544850899,https://www.youtube.com/watch?v=7XtEZvLo-Sc,https://www.youtube.com/watch?v=yESTOkh6nQE
120,0.8941022300663247,https://www.youtube.com/watch?v=ZHmklvx9oJ4,https://www.youtube.com/watch?v=x4cEMnDoBAA
121,0.8940122129051158,https://www.youtube.com/watch?v=Nb5cBkbQpGY,https://www.youtube.com/watch?v=jnU15SkboCA
122,0.8938485368777151,https://www.youtube.com/watch?v=ux6TVYqdN-E,https://www.youtube.com/watch?v=14UeTjQOx50
123,0.8935444705975223,https://www.youtube.com/watch?v=RudKmwzDpNY,https://www.youtube.com/watch?v=x4cEMnDoBAA
124,0.8935187471478572,https://www.youtube.com/watch?v=6V1eMvGGcXQ,https://www.youtube.com/watch?v=4i9jRsZlqUs
125,0.8934536251374818,https://www.youtube.com/watch?v=F7T5cg1a77A,https://www.youtube.com/watch?v=14UeTjQOx50
126,0.8933791437459484,https://www.youtube.com/watch?v=6V1eMvGGcXQ,https://www.youtube.com/watch?v=Eki8KqKxGQg
127,0.8931424460550647,https://www.youtube.com/watch?v=ux6TVYqdN-E,https://www.youtube.com/watch?v=COg6Qzt1new
128,0.8931367922221287,https://www.youtube.com/watch?v=ux6TVYqdN-E,https://www.youtube.com/watch?v=KUqGpkR21aM
129,0.893125069467431,https://www.youtube.com/watch?v=ZHmklvx9oJ4,https://www.youtube.com/watch?v=3LXkRwfXIYA
130,0.8930894181920288,https://www.youtube.com/watch?v=Nb5cBkbQpGY,https://www.youtube.com/watch?v=3LXkRwfXIYA
131,0.892930892393067,https://www.youtube.com/watch?v=mJI0hVV-5Vs,https://www.youtube.com/watch?v=oM5OgMz4g_M
132,0.8927530636894866,https://www.youtube.com/watch?v=Nb5cBkbQpGY,https://www.youtube.com/watch?v=5UwvH2b1j2E
133,0.8927374571668092,https://www.youtube.com/watch?v=bjnvtRgpg6g,https://www.youtube.com/watch?v=4i9jRsZlqUs
134,0.8926389613366515,https://www.youtube.com/watch?v=Us979jCjHu8,https://www.youtube.com/watch?v=COg6Qzt1new
135,0.892508106329804,https://www.youtube.com/watch?v=bjnvtRgpg6g,https://www.youtube.com/watch?v=Eki8KqKxGQg
136,0.8924913207464031,https://www.youtube.com/watch?v=Nb5cBkbQpGY,https://www.youtube.com/watch?v=oM5OgMz4g_M
137,0.8922390875461965,https://www.youtube.com/watch?v=cFS6fPLQ024,https://www.youtube.com/watch?v=l6zkg3Ihg0g
138,0.8921116398959006,https://www.youtube.com/watch?v=sJVtAIIHxu0,https://www.youtube.com/watch?v=oM5OgMz4g_M
139,0.8921091742339644,https://www.youtube.com/watch?v=I8Xc2_FtpHI,https://www.youtube.com/watch?v=3TnQSVytQ8A
140,0.8920648543617754,https://www.youtube.com/watch?v=mJI0hVV-5Vs,https://www.youtube.com/watch?v=jQdf2XgbLZo
141,0.8917506034056865,https://www.youtube.com/watch?v=6V1eMvGGcXQ,https://www.youtube.com/watch?v=LzGIpm5UFCg
142,0.8916811825610562,https://www.youtube.com/watch?v=RudKmwzDpNY,https://www.youtube.com/watch?v=LzGIpm5UFCg
